latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,days_since_last_review,room_type_Private room,room_type_Shared room,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_grouped_Bedford-Stuyvesant,neighbourhood_grouped_Bushwick,neighbourhood_grouped_Chelsea,neighbourhood_grouped_Clinton Hill,neighbourhood_grouped_Crown Heights,neighbourhood_grouped_East Harlem,neighbourhood_grouped_East Village,neighbourhood_grouped_Financial District,neighbourhood_grouped_Flatbush,neighbourhood_grouped_Greenpoint,neighbourhood_grouped_Harlem,neighbourhood_grouped_Hell's Kitchen,neighbourhood_grouped_Lower East Side,neighbourhood_grouped_Midtown,neighbourhood_grouped_Other,neighbourhood_grouped_Upper East Side,neighbourhood_grouped_Upper West Side,neighbourhood_grouped_Washington Heights,neighbourhood_grouped_West Village,neighbourhood_grouped_Williamsburg,log_price,name_bigram_private_room,name_bigram_central_park,name_bigram_east_village,name_bigram_private_bedroom,name_bigram_bedroom_apartment,name_bigram_cozy_room,name_bigram_upper_east,name_bigram_times_square,name_bigram_west_village,name_bigram_new_york,name_bigram_bedroom_apt,name_bigram_park_slope,name_bigram_upper_west,name_bigram_cozy_bedroom,name_bigram_spacious_bedroom
40.75531,-73.99293,69,2,289,2,294,29.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.248495242049359,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40.72401,-73.93788,49,4,138,3,320,34.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.912023005428146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.7221,-73.99775,180,30,21,1,154,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.198497031265826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.71185,-73.96204,80,2,42,1,263,8.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.394449154672439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.74623,-73.9953,375,180,5,1,180,247.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.929589143389895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.77065,-73.95269,250,2,66,2,231,100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.5254529391317835,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40.67811,-73.96428,200,30,143,2,297,163.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.303304908059076,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40.69,-73.96788,55,7,27,2,292,646.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02535169073515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.75979,-73.99119,52,30,191,1,191,53.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.970291913552122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.67343,-73.98338,225,3,4,1,0,652.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.420534999272286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40.72649,-73.97904,80,1,338,2,72,7.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.394449154672439,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.70933,-73.96792,275,1,148,1,362,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.62040086571715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.72298,-73.98474,99,1,106,2,336,17.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.605170185988092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.80164,-73.93922,225,4,190,1,215,15.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.420534999272286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.72162,-73.98008,230,9,49,1,116,420.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.442417710521793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.76342,-73.98865,51,7,23,1,88,37.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.9512437185814275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.83139,-73.94095,65,2,49,2,336,20.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.189654742026425,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40.68346,-73.96374,105,2,105,1,304,12.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.663439094112067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.72828,-73.98801,190,5,21,1,224,187.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25227342804663,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.76865,-73.95058,200,1,142,1,322,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.303304908059076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.75038,-73.90334,70,30,25,1,324,38.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.2626798770413155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.6932,-73.97267,95,3,143,1,132,22.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.564348191467836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.74138,-74.00197,150,3,167,1,295,41.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.017279836814924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.71154,-73.96112,145,3,61,4,238,77.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.983606621708336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.82915,-73.95136,110,31,54,1,209,107.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.709530201312334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40.71851,-73.98892,285,5,70,1,328,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.655991810819852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
